"files" "churn" "linecount" "relchurn"
"121" "bootstrap/lib/kernel/ebin/ram_file.beam" 6 86 0.0697674418604651
"122" "bootstrap/lib/kernel/ebin/rpc.beam" 10 168 0.0595238095238095
"123" "bootstrap/lib/kernel/ebin/seq_trace.beam" 4 15 0.266666666666667
"124" "bootstrap/lib/kernel/ebin/standard_error.beam" 8 78 0.102564102564103
"125" "bootstrap/lib/kernel/ebin/user_drv.beam" 6 189 0.0317460317460317
"126" "bootstrap/lib/kernel/ebin/user_sup.beam" 4 17 0.235294117647059
"127" "bootstrap/lib/kernel/ebin/user.beam" 11 338 0.0325443786982249
"128" "bootstrap/lib/kernel/ebin/wrap_log_reader.beam" 5 33 0.151515151515152
"130" "bootstrap/lib/kernel/include/dist_util.hrl" 2 87 0.0229885057471264
"131" "bootstrap/lib/kernel/include/dist.hrl" 4 39 0.102564102564103
"132" "bootstrap/lib/kernel/include/file.hrl" 7 63 0.111111111111111
"133" "bootstrap/lib/kernel/include/inet_sctp.hrl" 9 247 0.0364372469635627
"134" "bootstrap/lib/kernel/include/inet.hrl" 7 29 0.241379310344828
"135" "bootstrap/lib/kernel/include/net_address.hrl" 2 28 0.0714285714285714
"140" "bootstrap/lib/stdlib/ebin/array.beam" 7 95 0.0736842105263158
"141" "bootstrap/lib/stdlib/ebin/base64.beam" 8 49 0.163265306122449
"142" "bootstrap/lib/stdlib/ebin/beam_lib.beam" 19 298 0.063758389261745
"143" "bootstrap/lib/stdlib/ebin/binary.beam" 4 48 0.0833333333333333
"144" "bootstrap/lib/stdlib/ebin/c.beam" 16 207 0.0772946859903382
"145" "bootstrap/lib/stdlib/ebin/calendar.beam" 4 39 0.102564102564103
"146" "bootstrap/lib/stdlib/ebin/dets_server.beam" 7 164 0.0426829268292683
"147" "bootstrap/lib/stdlib/ebin/dets_sup.beam" 3 5 0.6
"148" "bootstrap/lib/stdlib/ebin/dets_utils.beam" 12 623 0.0192616372391653
"149" "bootstrap/lib/stdlib/ebin/dets_v8.beam" 11 520 0.0211538461538462
"150" "bootstrap/lib/stdlib/ebin/dets_v9.beam" 13 550 0.0236363636363636
"151" "bootstrap/lib/stdlib/ebin/dets.beam" 20 1162 0.0172117039586919
"152" "bootstrap/lib/stdlib/ebin/dict.beam" 8 80 0.1
"153" "bootstrap/lib/stdlib/ebin/digraph_utils.beam" 11 112 0.0982142857142857
"154" "bootstrap/lib/stdlib/ebin/digraph.beam" 10 143 0.0699300699300699
"155" "bootstrap/lib/stdlib/ebin/edlin_expand.beam" 5 46 0.108695652173913
"156" "bootstrap/lib/stdlib/ebin/edlin.beam" 7 177 0.0395480225988701
"157" "bootstrap/lib/stdlib/ebin/epp.beam" 22 637 0.0345368916797488
"158" "bootstrap/lib/stdlib/ebin/erl_bits.beam" 5 75 0.0666666666666667
"159" "bootstrap/lib/stdlib/ebin/erl_compile.beam" 14 60 0.233333333333333
"160" "bootstrap/lib/stdlib/ebin/erl_eval.beam" 12 452 0.0265486725663717
"161" "bootstrap/lib/stdlib/ebin/erl_expand_records.beam" 14 549 0.0255009107468124
"162" "bootstrap/lib/stdlib/ebin/erl_internal.beam" 12 320 0.0375
"163" "bootstrap/lib/stdlib/ebin/erl_lint.beam" 31 1103 0.028105167724388
"164" "bootstrap/lib/stdlib/ebin/erl_parse.beam" 22 1094 0.020109689213894
"165" "bootstrap/lib/stdlib/ebin/erl_posix_msg.beam" 4 138 0.0289855072463768
"166" "bootstrap/lib/stdlib/ebin/erl_pp.beam" 17 501 0.0339321357285429
"167" "bootstrap/lib/stdlib/ebin/erl_scan.beam" 19 622 0.0305466237942122
"168" "bootstrap/lib/stdlib/ebin/erl_tar.beam" 13 266 0.0488721804511278
"169" "bootstrap/lib/stdlib/ebin/error_logger_file_h.beam" 5 61 0.0819672131147541
"170" "bootstrap/lib/stdlib/ebin/error_logger_tty_h.beam" 6 65 0.0923076923076923
"171" "bootstrap/lib/stdlib/ebin/escript.beam" 18 281 0.0640569395017794
"172" "bootstrap/lib/stdlib/ebin/ets.beam" 17 519 0.0327552986512524
"173" "bootstrap/lib/stdlib/ebin/eval_bits.beam" 8 153 0.0522875816993464
"174" "bootstrap/lib/stdlib/ebin/file_sorter.beam" 14 435 0.032183908045977
