team,won,lost,min,fgm,fga,3m,3a,ftm,fta,or,tr,as,st,to,bk,pf,pts,tc,ej,ff,ws
MinnesotaT-wolves,44,38,19755,3045,6629,395,1145,1449,1820,947,3527,1918,460,1035,447,1774,7934,28,2,2,1
NJNets,42,40,19905,2753,6419,435,1203,1555,2039,855,3242,1772,650,1101,308,1985,7496,29,3,2,1
NYKnicks,33,49,19880,2978,6599,441,1240,1580,2060,965,3358,1665,629,1139,260,1942,7977,30,0,3,0
OrlandoMagic,36,46,19705,3034,6679,320,916,1772,2335,1038,3582,1583,633,1283,441,1937,8160,57,2,8,0
Philadelphia76ers,43,39,19855,2946,6736,505,1453,1731,2194,909,3445,1710,756,1243,321,1878,8128,34,2,1,1
PhoenixSuns,62,20,19780,3351,7018,796,2026,1556,2080,967,3619,1927,572,1101,453,1563,9054,25,2,0,1
PortlandTrailBlazers,27,55,19730,2896,6422,420,1161,1409,1944,970,3374,1722,583,1241,544,1703,7621,54,6,2,0
SacramentoKings,50,32,19855,3203,6978,522,1396,1577,2004,1023,3478,2005,674,1037,316,1685,8505,43,3,4,1
SanAntonioSpurs,59,23,19805,2923,6450,507,1395,1535,2120,987,3476,1771,613,1068,543,1717,7888,15,1,1,1
SeattleSupersonics,52,30,19755,2883,6498,666,1824,1683,2131,1040,3351,1487,553,1039,338,1944,8115,57,7,4,1
TorontoRaptors,33,49,19805,2952,6656,648,1681,1626,2101,844,3288,1670,621,1035,317,1876,8178,26,4,2,0
UtahJazz,26,56,19780,2828,6301,250,762,1719,2272,1047,3290,1826,541,1225,374,2189,7625,40,4,8,0
MemphisGrizzlies,45,37,19705,2802,6271,531,1486,1526,2024,887,3194,1716,699,1145,476,1910,7661,29,2,3,1
WashingtonWizards,45,37,19780,2966,6794,514,1498,1795,2476,1133,3507,1563,716,1134,347,1807,8241,25,2,1,1
AtlantaHawks,28,54,19905,2829,6529,419,1248,1534,1976,997,3503,1648,627,1278,408,1826,7611,34,2,3,0
BostonCeltics,36,46,19705,2843,6415,553,1599,1572,2095,851,3291,1683,770,1289,331,1837,7811,24,0,3,0
NOrleansHornets,41,41,19830,2772,6605,531,1666,1454,1937,1091,3509,1716,708,1155,346,1716,7529,42,2,1,0
ChicagoBulls,23,59,19830,2798,6753,429,1256,1330,1834,1048,3567,1793,659,1249,394,1911,7355,32,2,2,0
ClevelandCavaliers,35,47,19855,2922,6753,247,786,1528,2030,1118,3737,1808,585,1166,537,1742,7619,19,1,5,0
DallasMavericks,52,30,19805,3322,7230,507,1456,1475,1854,1174,3712,1963,656,965,437,1609,8626,40,4,7,1
DenverNuggets,43,39,19730,2993,6763,331,985,1655,2159,1083,3470,1794,745,1201,520,1804,7972,28,0,6,1
DetroitPistons,54,28,19780,2747,6315,333,969,1561,2074,1014,3506,1702,659,1179,570,1664,7388,45,4,2,1
GSWarriors,37,45,19855,2875,6511,429,1283,1470,2028,1002,3535,1681,576,1154,389,1691,7649,23,3,1,0
HoustonRockets,45,37,19930,2738,6195,515,1406,1371,1774,847,3494,1579,560,1295,443,1762,7362,40,1,4,1
IndianaPacers,61,21,19805,2753,6322,449,1281,1538,2014,965,3417,1774,726,1108,411,1709,7493,40,3,3,1
LAClippers,28,54,19805,2817,6579,329,1024,1808,2302,1149,3565,1653,594,1281,376,1816,7771,40,4,5,0
LALakers,56,26,19855,3028,6676,365,1115,1631,2352,1001,3536,1948,682,1096,379,1732,8052,56,5,5,1
MiamiHeat,42,40,19755,2729,6417,485,1357,1459,1915,940,3399,1565,590,1076,313,1812,7402,35,2,5,1
MilwaukeeBucks,41,41,19780,2970,6650,401,1145,1698,2192,960,3462,1872,554,1066,383,1667,8039,16,1,2,0
MinnesotaT-wolves,58,24,19755,3033,6571,326,897,1361,1743,875,3520,1890,561,1004,462,1731,7753,47,2,3,1
NJNets,47,35,19705,2813,6372,377,1123,1398,1856,862,3335,2009,709,1157,322,1722,7401,36,2,4,1
NYKnicks,39,43,19880,2881,6513,406,1115,1374,1732,950,3493,1695,608,1253,391,1897,7542,26,2,4,0
OrlandoMagic,21,61,19830,2904,6768,429,1248,1474,2000,1003,3353,1584,547,1063,308,1744,7711,25,1,2,0
Philadelphia76ers,33,49,19855,2682,6260,339,992,1512,2009,941,3349,1640,654,1207,358,1701,7215,22,0,3,0
PhoenixSuns,29,53,19730,2958,6671,415,1202,1392,1865,924,3330,1586,734,1203,383,1862,7723,25,0,4,0
PortlandTrailBlazers,41,41,19980,2898,6467,381,1102,1263,1728,1040,3416,1768,613,1134,444,1554,7440,41,1,2,0
SacramentoKings,55,27,19780,3103,6711,601,1498,1626,2044,888,3380,2152,710,1107,325,1586,8433,44,4,5,1
SanAntonioSpurs,57,25,19755,2842,6434,408,1140,1409,2069,1028,3697,1676,661,1155,537,1667,7501,19,0,3,1
SeattleSupersonics,37,45,19804,2939,6590,723,1936,1363,1782,907,3225,1782,661,1128,387,1783,7964,24,0,3,0
TorontoRaptors,33,49,19980,2654,6348,461,1294,1237,1650,830,3249,1574,604,1090,401,1748,7006,27,2,1,0
UtahJazz,42,40,19780,2690,6171,252,786,1639,2197,1103,3375,1671,583,1255,494,2095,7271,31,4,8,1
MemphisGrizzlies,50,32,19880,2963,6657,447,1314,1557,2143,1047,3428,1915,795,1180,565,1903,7930,49,5,2,1
WashingtonWizards,25,57,19830,2758,6556,433,1269,1579,2211,1115,3507,1537,733,1371,406,1712,7528,26,2,2,0
AtlantaHawks,35,47,19905,2859,6434,402,1141,1594,2011,937,3495,1679,611,1304,474,1783,7714,25,3,4,0
BostonCeltics,44,38,19830,2700,6509,719,2155,1480,1994,849,3320,1575,720,1105,303,1758,7599,68,6,7,1
NOrleansHornets,47,35,19905,2914,6695,404,1075,1467,1910,1097,3572,1807,656,1151,394,1767,7699,39,0,7,1
ChicagoBulls,30,52,19930,2991,6714,349,997,1455,2014,985,3526,1782,605,1330,461,2028,7786,47,4,8,0
ClevelandCavaliers,17,65,19831,2850,6746,293,896,1502,2012,1118,3660,1712,636,1430,521,1864,7495,43,3,5,0
DallasMavericks,60,22,19780,3161,6982,636,1668,1486,1793,912,3456,1837,665,906,449,1730,8444,54,4,4,1
DenverNuggets,17,65,19730,2689,6544,229,824,1294,1850,1112,3475,1737,712,1425,422,2056,6901,37,3,3,0
DetroitPistons,50,32,19905,2700,6277,533,1488,1559,2021,883,3328,1620,556,1043,468,1748,7492,38,1,5,1
GSWarriors,38,44,19755,3061,6941,425,1235,1853,2382,1284,3830,1712,594,1246,506,1786,8400,41,3,10,0
HoustonRockets,43,39,19930,2840,6461,439,1267,1567,2042,1024,3588,1506,594,1198,493,1602,7686,49,1,2,1
IndianaPacers,48,34,19905,2911,6608,379,1119,1739,2271,1004,3626,1910,696,1150,443,1811,7940,77,7,21,1
LAClippers,27,55,19755,2835,6490,390,1177,1633,2177,1008,3470,1606,574,1246,461,1784,7693,49,5,2,0
LALakers,50,32,19933,3091,6856,486,1367,1562,2129,1078,3632,1909,639,1152,470,1874,8230,48,4,2,1
MiamiHeat,25,57,19830,2688,6517,348,1100,1292,1689,948,3412,1501,592,1097,324,1856,7016,22,4,9,0
MilwaukeeBucks,42,40,19905,3045,6670,585,1526,1483,1911,876,3243,1823,622,996,344,1819,8158,33,0,6,1
MinnesotaT-wolves,51,31,19805,3172,6809,296,804,1406,1826,959,3573,2070,553,1091,433,1704,8046,42,0,4,1
NJNets,49,33,19755,2906,6585,346,1041,1662,2195,991,3519,1887,717,1184,374,1772,7820,47,3,4,1
NYKnicks,37,45,19855,2967,6725,606,1582,1320,1620,842,3218,1800,579,1114,255,1888,7860,20,1,4,0
OrlandoMagic,42,40,19806,2947,6763,568,1590,1616,2079,958,3350,1676,696,1138,300,1888,8078,36,2,9,1
Philadelphia76ers,48,34,19855,2975,6640,245,787,1748,2255,1042,3457,1771,844,1157,284,1804,7943,24,0,6,1
PhoenixSuns,44,38,19805,3005,6776,394,1149,1430,1928,1049,3489,1719,665,1165,404,1801,7834,36,2,4,1
PortlandTrailBlazers,50,32,19855,2987,6491,379,1150,1450,1947,992,3370,1860,725,1185,316,1634,7803,51,2,2,1
SacramentoKings,59,23,19830,3242,6990,491,1288,1367,1832,900,3651,2034,735,1171,457,1666,8342,38,3,3,1
SanAntonioSpurs,60,22,19830,2908,6297,449,1270,1591,2194,939,3495,1636,629,1260,529,1672,7856,46,4,2,1
SeattleSupersonics,40,42,19855,2887,6599,456,1291,1325,1780,963,3348,1775,679,1026,295,1713,7555,42,5,3,0
TorontoRaptors,24,58,19805,2847,6664,409,1193,1350,1879,1023,3378,1583,609,1106,392,1761,7453,37,2,1,0
UtahJazz,47,35,19780,2894,6189,224,641,1750,2349,1021,3402,2103,708,1304,467,1837,7762,31,1,6,1
MemphisGrizzlies,28,54,19930,3049,6743,467,1279,1430,1936,943,3409,1892,651,1214,500,1678,7995,26,2,2,0
WashingtonWizards,37,45,19831,2816,6394,253,811,1617,2077,917,3312,1612,621,1035,390,1644,7502,38,3,9,0
AtlantaHawks,33,49,19780,2901,6610,423,1194,1486,1942,955,3400,1656,667,1203,350,1702,7711,26,2,7,0
BostonCeltics,49,33,19830,2852,6731,699,1946,1498,1960,891,3461,1722,793,1082,293,1775,7901,42,3,8,1
CharlotteHornets,44,38,19755,2893,6580,346,994,1568,2105,1059,3564,1759,653,1108,456,1747,7700,49,6,1,1
ChicagoBulls,21,61,19805,2811,6491,300,868,1413,1958,924,3283,1817,633,1169,361,1834,7335,38,3,12,0
ClevelandCavaliers,29,53,19855,2948,6582,387,1026,1529,1980,968,3451,1891,572,1129,470,1752,7812,24,1,3,0
DallasMavericks,57,25,19880,3200,6930,621,1645,1608,1994,918,3486,1811,581,958,386,1841,8629,47,1,7,1
DenverNuggets,27,55,19805,2915,6870,423,1285,1306,1756,1117,3427,1817,613,1130,462,1871,7559,45,4,4,0
DetroitPistons,50,32,19680,2846,6301,568,1510,1478,1954,810,3176,1765,648,1135,565,1695,7738,50,4,5,1
GSWarriors,21,61,19780,2998,6989,320,994,1693,2344,1334,3827,1706,650,1325,523,1884,8009,50,5,11,0
HoustonRockets,28,54,19980,2837,6629,496,1480,1402,1893,1025,3436,1482,537,1074,445,1476,7572,41,4,5,0
IndianaPacers,42,40,19905,2935,6580,405,1195,1663,2155,930,3498,1884,658,1191,436,1876,7938,60,5,9,1
LAClippers,39,43,19806,2970,6668,408,1147,1498,2026,1083,3557,1714,510,1150,540,1625,7846,33,1,4,0
LALakers,58,24,19780,3150,6839,510,1439,1494,2138,1022,3629,1882,625,995,478,1823,8304,50,7,8,1
MiamiHeat,36,46,19930,2801,6382,312,899,1236,1708,902,3446,1664,547,1153,448,1846,7150,43,1,9,0
MilwaukeeBucks,41,41,19905,3041,6577,593,1583,1321,1767,841,3398,1847,596,1112,388,1788,7996,57,5,4,0
MinnesotaT-wolves,50,32,19805,3175,6887,396,1047,1399,1754,1059,3621,1993,524,1069,427,1739,8145,27,4,7,1
NJNets,52,30,19830,3042,6816,403,1194,1402,1907,1039,3554,1990,716,1169,490,1734,7889,24,2,9,1
NYKnicks,30,52,19805,2817,6520,474,1344,1406,1786,876,3334,1720,558,1155,288,1800,7514,27,3,6,0
OrlandoMagic,44,38,19830,3087,6893,620,1660,1446,1917,942,3382,1804,665,1085,384,1700,8240,23,2,3,1
Philadelphia76ers,43,39,19730,2804,6436,214,715,1639,2104,1092,3626,1638,705,1176,363,1646,7461,48,6,9,1
PhoenixSuns,36,46,19830,3097,6934,358,1096,1250,1630,1073,3501,1837,668,1167,400,1784,7802,26,0,4,0
PortlandTrailBlazers,49,33,19830,3004,6671,466,1318,1451,1901,1085,3529,1926,702,1117,368,1613,7925,86,9,7,1
SacramentoKings,61,21,19755,3267,7003,426,1160,1618,2154,1013,3715,1958,741,1095,375,1560,8578,41,2,4,1
SanAntonioSpurs,58,24,19855,2913,6363,438,1211,1668,2249,907,3473,1643,625,1133,537,1575,7932,29,3,3,1
SeattleSupersonics,45,37,19830,3131,6681,489,1292,1263,1672,968,3301,1926,698,1085,364,1732,8014,32,1,4,1
TorontoRaptors,42,40,19755,2919,6727,387,1109,1269,1717,1114,3450,1779,688,1109,454,1771,7494,36,0,7,1
UtahJazz,44,38,19830,2869,6374,280,842,1853,2430,1109,3458,1999,749,1290,523,1971,7871,36,2,0,1
MemphisGrizzlies,23,59,19780,2851,6535,336,1096,1334,1883,984,3397,1785,646,1290,488,1571,7372,31,3,2,0
WashingtonWizards,37,45,19730,2938,6664,305,786,1428,1866,1055,3448,1715,570,999,354,1763,7609,16,2,6,0
AtlantaHawks,25,57,19730,2876,6668,333,933,1374,1811,1028,3518,1559,634,1294,387,1863,7459,25,2,5,0
BostonCeltics,36,46,19830,2773,6485,592,1633,1621,2190,897,3264,1708,769,1238,336,1952,7759,39,3,1,0
CharlotteHornets,46,36,19880,2800,6501,340,984,1599,2146,1033,3641,1900,665,1124,455,1753,7539,39,2,4,1
ChicagoBulls,15,67,19855,2721,6411,329,950,1410,1909,926,3186,1810,675,1197,379,1902,7181,25,2,6,0
ClevelandCavaliers,30,52,19830,2890,6532,220,659,1561,2040,1015,3455,1708,642,1297,436,1904,7561,54,7,10,0
DallasMavericks,53,29,19805,3085,6716,517,1357,1552,1954,831,3402,1740,618,1094,492,1907,8239,43,3,2,1
DenverNuggets,40,42,19780,2979,6877,512,1444,1448,1964,1044,3627,1970,552,1092,538,1820,7918,45,4,7,0
DetroitPistons,32,50,19855,2919,6880,389,1112,1610,2233,1108,3734,1629,613,1265,447,1955,7837,36,2,5,0
GSWarriors,17,65,19780,2937,7175,282,964,1428,2024,1345,3730,1788,742,1253,410,1727,7584,30,1,4,0
HoustonRockets,45,37,19830,2943,6494,504,1412,1582,2086,919,3443,1613,587,1136,358,1657,7972,50,2,1,1
IndianaPacers,41,41,19980,2828,6431,396,1159,1539,2009,921,3516,1763,563,1173,487,1926,7591,47,5,9,0
LAClippers,31,51,20030,2896,6467,360,1063,1429,2061,962,3521,1585,490,1212,513,1775,7581,42,5,4,0
LALakers,56,26,19905,3109,6685,439,1275,1594,2333,1085,3668,1888,564,1137,490,1872,8251,40,5,7,1
MiamiHeat,50,32,19880,2694,6258,478,1384,1423,1874,813,3248,1630,633,1076,304,1726,7289,43,1,10,1
MilwaukeeBucks,52,30,19780,3112,6798,562,1481,1474,1874,975,3475,1844,672,1082,386,1928,8260,44,3,8,1
MinnesotaT-wolves,47,35,19830,3148,6871,322,901,1364,1737,1002,3472,2083,682,1105,456,1900,7982,29,1,7,1
NJNets,26,56,19730,2781,6550,361,1084,1629,2146,909,3246,1603,649,1139,407,1982,7552,29,1,5,0
NYKnicks,48,34,19905,2755,6198,391,1115,1374,1727,773,3297,1520,545,1132,346,1863,7275,31,3,5,1
OrlandoMagic,43,39,19955,3013,6873,490,1346,1476,2068,1069,3519,1803,674,1216,481,2071,7992,35,4,7,1
Philadelphia76ers,56,26,19855,2902,6487,262,803,1697,2277,1075,3675,1692,690,1231,408,1673,7763,40,1,0,1
PhoenixSuns,51,31,19805,2944,6757,332,1054,1490,1973,970,3499,1905,775,1208,429,1863,7710,33,4,1,1
PortlandTrailBlazers,50,32,19780,3004,6417,369,1057,1447,1899,960,3441,1963,672,1211,419,1745,7824,89,17,6,1
SacramentoKings,55,27,20080,3132,6969,479,1353,1600,2075,987,3692,1852,793,1178,432,1596,8343,41,3,4,1
SanAntonioSpurs,58,24,19830,2884,6262,445,1094,1673,2340,902,3614,1778,568,1099,576,1551,7886,16,2,4,1
SeattleSupersonics,44,38,19805,3029,6649,466,1169,1454,1986,999,3421,1792,657,1201,409,1733,7978,50,3,1,1
TorontoRaptors,47,35,19955,3048,6972,429,1164,1482,1984,1118,3647,2004,599,1043,519,1745,8007,51,4,4,1
UtahJazz,53,29,19780,2960,6289,325,852,1714,2280,943,3326,2110,661,1250,463,2107,7959,53,3,7,1
VancouverGrizzlies,23,59,19780,2870,6539,325,947,1457,1892,894,3325,1899,586,1237,359,1733,7522,26,1,1,0
WashingtonWizards,19,63,19680,2833,6453,275,848,1704,2245,1016,3386,1647,630,1321,383,1913,7645,28,2,2,0
AtlantaHawks,28,54,19830,3000,6807,258,814,1477,1987,1146,3716,1548,500,1219,461,1718,7735,30,2,3,0
BostonCeltics,35,47,19730,3054,6880,417,1260,1621,2175,1108,3528,1741,795,1221,286,2223,8146,48,4,7,0
CharlotteHornets,49,33,19780,2935,6533,339,1001,1863,2458,884,3519,2023,732,1160,480,1670,8072,38,2,6,1
ChicagoBulls,17,65,19804,2565,6180,340,1032,1482,2089,1032,3355,1644,646,1438,383,1908,6952,18,1,9,0
ClevelandCavaliers,32,50,19855,2977,6734,343,919,1653,2205,1010,3509,1942,715,1382,363,2219,7950,46,6,8,0
DallasMavericks,40,42,19730,3195,7047,519,1326,1407,1751,931,3375,1810,592,1081,416,1770,8316,40,8,1,0
DenverNuggets,35,47,19855,3057,6911,470,1397,1531,2116,1073,3663,1911,554,1235,618,1962,8115,31,4,6,0
DetroitPistons,42,40,19830,3044,6635,439,1223,1956,2506,917,3375,1707,665,1250,273,2011,8483,25,4,4,1
GSWarriors,19,63,19756,2996,7140,345,1069,1497,2147,1300,3738,1851,731,1255,356,2043,7834,34,5,11,0
HoustonRockets,34,48,19830,3001,6664,581,1625,1573,2145,1008,3594,1774,613,1358,438,1663,8156,40,8,7,0
IndianaPacers,56,26,19730,3047,6640,583,1487,1629,2008,842,3454,1857,559,1113,422,1786,8306,31,4,8,1
LAClippers,15,67,19705,2877,6757,429,1267,1363,1826,955,3332,1479,578,1265,494,1821,7546,31,4,1,0
LALakers,67,15,19805,3137,6836,344,1047,1649,2368,1117,3855,1921,613,1106,534,1841,8267,27,4,5,1
MiamiHeat,52,30,19830,2974,6462,446,1202,1345,1827,921,3540,1931,582,1182,524,1947,7739,19,1,14,1
MilwaukeeBucks,42,40,19855,3173,6826,394,1069,1558,1982,1016,3389,1852,671,1183,381,2020,8298,42,3,2,1
MinnesotaT-wolves,50,32,19905,3226,6910,248,716,1379,1769,1016,3487,2205,622,1107,444,1913,8079,22,1,1,1
NJNets,31,51,19830,2979,6881,477,1374,1601,2041,1040,3355,1688,720,1051,393,1913,8036,20,1,1,0
NYKnicks,50,32,19830,2897,6374,351,937,1410,1805,802,3323,1588,515,1157,349,1983,7555,31,3,5,1
OrlandoMagic,41,41,19757,3169,7014,294,870,1574,2142,1145,3685,1709,743,1417,467,1967,8206,18,1,1,0
Philadelphia76ers,49,33,19830,2993,6776,208,643,1577,2226,1147,3615,1817,791,1251,386,1939,7771,33,1,2,1
PhoenixSuns,53,29,19805,3093,6771,458,1246,1467,1934,1022,3580,2098,744,1331,433,1973,8111,30,3,1,1
PortlandTrailBlazers,59,23,19780,3021,6430,407,1128,1542,2029,966,3526,1925,633,1195,396,1865,7991,68,7,6,1
SacramentoKings,44,38,19804,3276,7289,534,1656,1521,2016,1057,3692,1953,787,1296,381,1729,8607,65,5,2,1
SanAntonioSpurs,53,29,19855,2952,6393,330,882,1652,2214,927,3593,1819,614,1183,551,1716,7886,29,3,1,1
SeattleSupersonics,45,37,19780,3108,6946,546,1611,1363,1960,1042,3525,1878,657,1116,345,1776,8125,37,4,7,1
TorontoRaptors,45,37,19755,2980,6882,425,1171,1583,2068,1098,3547,1947,666,1085,544,1989,7968,45,2,8,1
UtahJazz,55,27,19755,2962,6380,329,854,1661,2150,936,3362,2041,629,1160,446,2013,7914,37,2,3,1
VancouverGrizzlies,22,60,19855,2892,6441,324,898,1594,2060,1005,3329,1700,608,1308,346,1881,7702,32,1,2,0
WashingtonWizards,29,53,19805,3010,6681,335,890,1566,2107,1064,3502,1771,593,1267,383,2149,7921,23,3,7,0
AtlantaHawks,31,19,12075,1539,3760,197,644,1040,1422,676,2175,782,346,706,260,987,4315,16,2,2,1
BostonCeltics,19,31,12150,1816,4164,273,758,745,1077,680,2138,1073,453,777,255,1193,4650,20,0,1,0
CharlotteHornets,26,24,12150,1671,3718,268,735,1034,1384,480,1973,1110,443,760,247,1101,4644,18,2,4,1
ChicagoBulls,13,37,12075,1539,3837,177,612,840,1185,573,1967,1017,436,730,169,1112,4095,23,1,4,0
ClevelandCavaliers,22,28,12050,1562,3561,182,534,1016,1356,472,1788,1093,452,738,203,1208,4322,16,1,0,0
DallasMavericks,19,31,12075,1749,4033,202,595,881,1210,645,2123,921,352,651,292,1065,4581,14,1,1,0
DenverNuggets,14,36,12025,1681,3989,302,922,1010,1325,647,2039,969,376,713,275,1144,4674,25,5,3,0
DetroitPistons,29,21,12050,1660,3716,248,679,950,1283,605,2017,1009,444,738,208,1139,4518,16,2,3,1
GSWarriors,21,29,12125,1730,4173,162,565,794,1175,816,2375,1037,414,729,221,1270,4416,21,1,5,0
HoustonRockets,31,19,12075,1755,3798,336,914,865,1187,536,2075,1058,386,770,260,960,4711,25,3,2,1
IndianaPacers,33,17,12100,1731,3866,294,799,977,1228,574,2026,1005,316,609,223,1082,4733,23,4,4,1
LAClippers,9,41,12125,1711,4007,214,668,883,1225,665,1958,820,424,760,236,1223,4519,13,1,0,0
LALakers,31,19,12050,1841,3935,241,685,1027,1503,619,2101,1095,389,741,287,1231,4950,25,3,4,1
MiamiHeat,33,17,12025,1616,3565,289,804,928,1262,503,2015,1019,327,707,304,1035,4449,16,2,2,1
MilwaukeeBucks,28,22,12050,1753,3818,231,619,847,1155,570,1939,1030,442,693,202,1142,4584,14,1,5,1
MinnesotaT-wolves,25,25,12025,1838,4327,122,410,849,1143,754,2146,1218,426,629,272,1185,4647,11,0,3,0
NJNets,16,34,12050,1691,4160,225,679,962,1251,715,2152,923,491,710,273,1134,4569,16,2,2,0
NYKnicks,27,23,12100,1610,3704,208,589,892,1218,551,2061,963,395,775,262,1140,4320,22,3,1,1
OrlandoMagic,33,17,12050,1687,3943,223,675,876,1252,688,2133,1067,496,798,213,935,4473,15,0,2,1
Philadelphia76ers,28,22,12150,1656,3883,98,371,1073,1486,729,2157,934,542,781,271,1152,4483,18,1,2,1
PhoenixSuns,27,23,12050,1797,4004,261,702,924,1215,598,2016,1249,444,653,200,1022,4779,27,3,0,1
PortlandTrailBlazers,35,15,12175,1747,3956,246,675,1002,1349,646,2216,1073,411,744,290,1126,4742,33,3,4,1
SacramentoKings,27,23,12200,1918,4307,290,943,883,1293,706,2279,1129,444,824,232,1016,5009,29,1,0,1
SanAntonioSpurs,37,13,12075,1740,3812,172,521,988,1415,614,2198,1101,421,717,351,1010,4640,15,3,1,1
SeattleSupersonics,25,25,12100,1756,3976,309,899,922,1354,676,2098,1087,393,721,201,1047,4743,42,2,2,0
TorontoRaptors,23,27,12075,1660,3940,226,662,1011,1330,712,2159,1036,439,767,321,1139,4557,25,3,8,0
UtahJazz,37,13,12175,1684,3620,140,388,1158,1510,555,2063,1204,398,786,276,1133,4666,28,4,5,1
VancouverGrizzlies,8,42,12175,1643,3838,148,453,1009,1408,650,2009,964,420,807,199,1123,4443,19,1,5,0
WashingtonWizards,18,32,12050,1768,3969,179,580,845,1198,595,1998,1064,393,708,193,1151,4560,9,1,2,0
AtlantaHawks,50,32,19880,2887,6352,337,1016,1749,2312,1107,3523,1569,648,1158,489,1671,7860,48,1,4,1
BostonCeltics,36,46,19730,3012,6924,415,1249,1425,1964,1196,3240,1811,987,1276,366,2203,7864,24,2,3,0
CharlotteHornets,51,31,19780,2968,6344,346,904,1641,2186,985,3326,1944,692,1194,311,1759,7923,43,2,3,1
ChicagoBulls,62,20,19855,3064,6801,311,962,1492,2009,1243,3681,1952,695,1091,353,1691,7931,40,1,6,1
ClevelandCavaliers,47,35,19830,2817,6207,298,801,1653,2187,954,3285,1894,814,1361,419,1935,7585,37,3,3,1
DallasMavericks,20,62,19905,2882,6755,422,1183,1308,1740,1007,3288,1535,646,1110,460,1643,7494,19,0,4,0
DenverNuggets,11,71,19730,2677,6412,288,893,1658,2147,1040,3197,1552,664,1214,391,1932,7300,20,2,8,0
DetroitPistons,37,45,19955,2862,6373,293,938,1704,2288,1045,3382,1597,678,1135,344,1805,7721,20,2,2,0
GSWarriors,19,63,19830,2845,6885,189,696,1358,1912,1288,3763,1706,620,1312,447,1859,7237,9,1,5,0
HoustonRockets,41,41,19830,2946,6513,573,1670,1634,2120,987,3337,1799,686,1253,294,1653,8099,59,8,6,0
IndianaPacers,58,24,19830,2921,6223,401,1029,1631,2136,874,3222,1878,645,1106,368,1859,7874,27,3,4,1
LAClippers,17,65,19780,2930,6690,525,1468,1480,2047,1039,3316,1525,625,1248,454,1827,7865,33,5,2,0
LALakers,61,21,19830,3146,6536,497,1418,1863,2741,1079,3550,2009,734,1229,556,1859,8652,28,3,4,1
MiamiHeat,55,27,19755,2850,6327,548,1547,1539,2082,1023,3442,1759,664,1172,429,1981,7787,38,4,8,1
MilwaukeeBucks,36,46,19930,2918,6399,249,706,1663,2167,1035,3271,1650,733,1329,355,1915,7748,20,1,5,0
MinnesotaT-wolves,45,37,19930,3157,6844,303,873,1673,2253,1063,3492,2068,639,1108,427,1882,8290,33,1,7,1
NJNets,43,39,19880,3055,6928,310,937,1750,2351,1344,3481,1685,777,1121,314,1917,8170,40,2,3,1
NYKnicks,43,39,19830,2864,6413,382,1139,1399,1813,978,3412,1787,634,1200,278,1947,7509,46,7,12,1
OrlandoMagic,41,41,19830,2771,6455,293,909,1552,2138,1178,3381,1694,649,1224,440,1617,7387,24,1,3,0
Philadelphia76ers,31,51,19755,2837,6409,243,810,1734,2352,1126,3420,1729,729,1293,490,1878,7651,36,6,3,0
PhoenixSuns,56,26,19955,3138,6710,431,1211,1459,1948,991,3443,2123,757,1193,429,1762,8166,27,3,3,1
PortlandTrailBlazers,46,36,19830,2885,6397,324,1047,1640,2226,1086,3607,1766,585,1332,464,1859,7734,60,6,5,1
SacramentoKings,27,55,19730,2957,6685,283,806,1440,2095,1093,3398,1836,596,1229,421,1810,7637,16,3,4,0
SanAntonioSpurs,56,26,19830,2898,6187,302,863,1489,2165,984,3622,1839,517,1265,568,1731,7587,10,2,1,1
SeattleSupersonics,61,21,19755,3052,6459,621,1571,1521,2109,932,3157,1983,804,1115,374,1812,8246,45,3,4,1
TorontoRaptors,16,66,19930,2965,6813,372,1086,1479,2060,1187,3336,1746,769,1331,663,1851,7781,22,1,4,0
UtahJazz,62,20,19780,2993,6113,249,670,2044,2644,962,3367,2070,648,1224,412,1961,8279,50,1,3,1
VancouverGrizzlies,19,63,19830,3006,6567,325,899,1586,2145,1081,3394,1960,614,1353,349,1809,7923,27,3,0,0
WashingtonWizards,42,40,19805,3080,6811,320,944,1489,2156,1119,3457,1900,689,1111,379,1839,7969,36,4,6,1
AtlantaHawks,56,26,19805,2812,6307,659,1834,1491,1955,1021,3371,1557,701,1178,427,1591,7774,30,2,0,1
BostonCeltics,15,67,19905,3066,6967,467,1331,1649,2199,1095,3283,1792,810,1294,315,1915,8248,24,1,3,0
CharlotteHornets,54,28,19805,2988,6342,591,1382,1541,1984,910,3208,2021,597,1152,349,1702,8108,44,5,1,1
ChicagoBulls,69,13,19730,3277,6923,523,1403,1381,1848,1235,3696,2142,716,1075,332,1617,8458,41,3,3,1
ClevelandCavaliers,42,40,19855,2704,5972,483,1284,1282,1773,909,3068,1714,655,1119,315,1882,7173,33,4,4,1
DallasMavericks,24,58,19805,2813,6452,430,1316,1375,1918,1040,3302,1663,654,1255,351,1798,7431,32,5,7,0
DenverNuggets,21,61,19930,2934,6687,636,1711,1516,1992,994,3446,1889,503,1297,487,1784,8020,20,1,2,0
DetroitPistons,54,28,19830,2827,6095,582,1499,1487,1995,858,3150,1554,632,983,283,1652,7723,14,0,3,1
GSWarriors,30,52,19905,2997,6567,481,1363,1696,2180,1086,3345,1822,611,1353,359,1787,8171,26,4,1,0
